Measurement_Date,Env_ID,Value,Variable,Units
2009-10-11,X_Plots,0.25,Water_Input,mm
2009-10-15,X_Plots,4.78,Water_Input,mm
2009-10-16,X_Plots,1.25,Water_Input,mm
2009-11-30,X_Plots,0.25,Water_Input,mm
2009-12-08,X_Plots,1,Water_Input,mm
2009-12-09,X_Plots,24.57,Water_Input,mm
2009-12-12,X_Plots,0.75,Water_Input,mm
2009-12-13,X_Plots,3.52,Water_Input,mm
2009-12-14,X_Plots,29.35,Water_Input,mm
2009-12-23,X_Plots,3.048,Water_Input,mm
2010-01-01,X_Plots,2.794,Water_Input,mm
2010-01-14,X_Plots,1.016,Water_Input,mm
2010-01-15,X_Plots,0.508,Water_Input,mm
2010-01-19,X_Plots,8.382,Water_Input,mm
2010-01-20,X_Plots,35.306,Water_Input,mm
2010-01-21,X_Plots,22.098,Water_Input,mm
2010-01-22,X_Plots,34.036,Water_Input,mm
2010-01-23,X_Plots,44.958,Water_Input,mm
2010-01-24,X_Plots,11.938,Water_Input,mm
2010-01-28,X_Plots,8.89,Water_Input,mm
2010-02-07,X_Plots,42.418,Water_Input,mm
2010-02-08,X_Plots,11.684,Water_Input,mm
2010-02-11,X_Plots,7.62,Water_Input,mm
2010-02-21,X_Plots,3.81,Water_Input,mm
2010-02-22,X_Plots,0.254,Water_Input,mm
2010-02-23,X_Plots,2.286,Water_Input,mm
2010-02-24,X_Plots,0.254,Water_Input,mm
2010-02-26,X_Plots,0.508,Water_Input,mm
2010-02-28,X_Plots,8.636,Water_Input,mm
2010-03-01,X_Plots,17.78,Water_Input,mm
2010-03-05,X_Plots,6.096,Water_Input,mm
2010-03-08,X_Plots,9.144,Water_Input,mm
2010-03-09,X_Plots,1.27,Water_Input,mm
2010-04-06,X_Plots,2.286,Water_Input,mm
2010-04-07,X_Plots,5.08,Water_Input,mm
2010-04-13,X_Plots,19.05,Water_Input,mm
2010-04-14,X_Plots,5.334,Water_Input,mm
2010-04-22,X_Plots,2.286,Water_Input,mm
2010-04-23,X_Plots,6.096,Water_Input,mm
2010-04-27,X_Plots,0.254,Water_Input,mm
2010-04-29,X_Plots,1.27,Water_Input,mm
2010-05-18,X_Plots,0.762,Water_Input,mm
2010-05-19,X_Plots,0.508,Water_Input,mm
2010-05-31,X_Plots,2.286,Water_Input,mm
2010-07-06,X_Plots,1.016,Water_Input,mm
2010-07-07,X_Plots,0.254,Water_Input,mm
2010-07-16,X_Plots,0.762,Water_Input,mm
2010-09-08,X_Plots,0.254,Water_Input,mm
2010-09-09,X_Plots,0.508,Water_Input,mm
2010-10-04,X_Plots,0.508,Water_Input,mm
2010-10-05,X_Plots,4.826,Water_Input,mm
2010-10-06,X_Plots,3.302,Water_Input,mm
2010-10-07,X_Plots,3.556,Water_Input,mm
2010-10-16,X_Plots,1.27,Water_Input,mm
2010-10-17,X_Plots,2.032,Water_Input,mm
2010-10-18,X_Plots,4.572,Water_Input,mm
2010-10-19,X_Plots,3.048,Water_Input,mm
2010-10-20,X_Plots,18.542,Water_Input,mm
2010-10-21,X_Plots,3.302,Water_Input,mm
2010-10-22,X_Plots,1.778,Water_Input,mm
2010-10-25,X_Plots,4.318,Water_Input,mm
2010-10-26,X_Plots,0.254,Water_Input,mm
2010-10-30,X_Plots,6.858,Water_Input,mm
2010-11-08,X_Plots,2.286,Water_Input,mm
2010-11-20,X_Plots,3.81,Water_Input,mm
2010-11-21,X_Plots,18.034,Water_Input,mm
2010-11-22,X_Plots,1.27,Water_Input,mm
2010-11-24,X_Plots,10.922,Water_Input,mm
2010-11-28,X_Plots,1.778,Water_Input,mm
2010-12-05,X_Plots,0.254,Water_Input,mm
2010-12-06,X_Plots,8.89,Water_Input,mm
2010-12-07,X_Plots,0.254,Water_Input,mm
2010-12-16,X_Plots,3.81,Water_Input,mm
2010-12-17,X_Plots,2.794,Water_Input,mm
2010-12-18,X_Plots,5.334,Water_Input,mm
2010-12-19,X_Plots,20.32,Water_Input,mm
2010-12-20,X_Plots,37.084,Water_Input,mm
2010-12-21,X_Plots,75.184,Water_Input,mm
2010-12-22,X_Plots,88.646,Water_Input,mm
2010-12-23,X_Plots,0.508,Water_Input,mm
2010-12-25,X_Plots,0.254,Water_Input,mm
2010-12-26,X_Plots,9.398,Water_Input,mm
2010-12-30,X_Plots,0.508,Water_Input,mm
2011-01-03,X_Plots,11.938,Water_Input,mm
2011-01-04,X_Plots,5.08,Water_Input,mm
2011-01-05,X_Plots,0.508,Water_Input,mm
2011-01-31,X_Plots,7.874,Water_Input,mm
2011-02-01,X_Plots,0.254,Water_Input,mm
2011-02-16,X_Plots,4.572,Water_Input,mm
2011-02-17,X_Plots,2.286,Water_Input,mm
2011-02-19,X_Plots,15.24,Water_Input,mm
2011-02-20,X_Plots,13.97,Water_Input,mm
2011-02-22,X_Plots,0.254,Water_Input,mm
2011-02-26,X_Plots,36.322,Water_Input,mm
2011-03-03,X_Plots,0.254,Water_Input,mm
2011-03-04,X_Plots,0.254,Water_Input,mm
2011-03-07,X_Plots,7.62,Water_Input,mm
2011-03-21,X_Plots,34.544,Water_Input,mm
2011-03-22,X_Plots,3.556,Water_Input,mm
2011-03-24,X_Plots,13.208,Water_Input,mm
2011-03-25,X_Plots,6.35,Water_Input,mm
2011-03-26,X_Plots,0.254,Water_Input,mm
2011-03-27,X_Plots,1.016,Water_Input,mm
2011-04-08,X_Plots,0.762,Water_Input,mm
2011-04-09,X_Plots,3.556,Water_Input,mm
2011-04-20,X_Plots,0.254,Water_Input,mm
2011-04-25,X_Plots,0.254,Water_Input,mm
2011-05-08,X_Plots,0.762,Water_Input,mm
2011-05-09,X_Plots,0.254,Water_Input,mm
2011-05-10,X_Plots,0.508,Water_Input,mm
2011-05-14,X_Plots,0.762,Water_Input,mm
2011-05-15,X_Plots,5.08,Water_Input,mm
2011-05-17,X_Plots,0.508,Water_Input,mm
2011-05-18,X_Plots,6.604,Water_Input,mm
2011-05-29,X_Plots,1.27,Water_Input,mm
2011-06-06,X_Plots,1.778,Water_Input,mm
2011-07-31,X_Plots,1.016,Water_Input,mm
2011-09-11,X_Plots,0.508,Water_Input,mm
2011-09-18,X_Plots,0.254,Water_Input,mm
2011-09-19,X_Plots,0.254,Water_Input,mm
2011-09-22,X_Plots,0.254,Water_Input,mm
2011-09-23,X_Plots,0.254,Water_Input,mm
2011-10-04,X_Plots,0.508,Water_Input,mm
2011-10-05,X_Plots,1.524,Water_Input,mm
2011-10-06,X_Plots,33.274,Water_Input,mm
2011-10-16,X_Plots,0.254,Water_Input,mm
2011-10-19,X_Plots,0.254,Water_Input,mm
2011-10-25,X_Plots,0.508,Water_Input,mm
2011-11-04,X_Plots,6.35,Water_Input,mm
2011-11-05,X_Plots,3.556,Water_Input,mm
2011-11-07,X_Plots,6.096,Water_Input,mm
2011-11-12,X_Plots,3.302,Water_Input,mm
2011-11-13,X_Plots,1.524,Water_Input,mm
2011-11-17,X_Plots,0.254,Water_Input,mm
2011-11-20,X_Plots,0.508,Water_Input,mm
2011-11-21,X_Plots,23.368,Water_Input,mm
2011-11-25,X_Plots,0.254,Water_Input,mm
2011-12-11,X_Plots,0.254,Water_Input,mm
2011-12-13,X_Plots,8.636,Water_Input,mm
2011-12-15,X_Plots,0.254,Water_Input,mm
2011-12-16,X_Plots,0.762,Water_Input,mm
2011-12-18,X_Plots,0.762,Water_Input,mm
2011-12-22,X_Plots,0.254,Water_Input,mm
2012-01-16,X_Plots,7.62,Water_Input,mm
2012-01-17,X_Plots,0.508,Water_Input,mm
2012-01-20,X_Plots,0.254,Water_Input,mm
2012-01-21,X_Plots,7.112,Water_Input,mm
2012-01-22,X_Plots,5.08,Water_Input,mm
2012-01-23,X_Plots,0.254,Water_Input,mm
2012-01-24,X_Plots,6.35,Water_Input,mm
2012-02-02,X_Plots,0.254,Water_Input,mm
2012-02-11,X_Plots,0.254,Water_Input,mm
2012-02-14,X_Plots,1.016,Water_Input,mm
2012-02-16,X_Plots,12.446,Water_Input,mm
2012-02-27,X_Plots,0.508,Water_Input,mm
2012-02-28,X_Plots,12.192,Water_Input,mm
2012-03-18,X_Plots,2.032,Water_Input,mm
2012-04-12,X_Plots,0.508,Water_Input,mm
2012-05-01,X_Plots,0.762,Water_Input,mm
2012-05-02,X_Plots,0.508,Water_Input,mm
2009-10-11,R_Plots,0.25,Water_Input,mm
2009-10-15,R_Plots,4.78,Water_Input,mm
2009-10-16,R_Plots,1.25,Water_Input,mm
2009-11-30,R_Plots,0.25,Water_Input,mm
2009-12-08,R_Plots,1,Water_Input,mm
2009-12-09,R_Plots,24.57,Water_Input,mm
2009-12-12,R_Plots,0.25,Water_Input,mm
2009-12-13,R_Plots,0,Water_Input,mm
2009-12-14,R_Plots,0,Water_Input,mm
2009-12-23,R_Plots,3.048,Water_Input,mm
2010-01-01,R_Plots,2.794,Water_Input,mm
2010-01-14,R_Plots,1.016,Water_Input,mm
2010-01-15,R_Plots,0.508,Water_Input,mm
2010-01-19,R_Plots,0,Water_Input,mm
2010-01-20,R_Plots,0,Water_Input,mm
2010-01-21,R_Plots,0.508,Water_Input,mm
2010-01-22,R_Plots,34.036,Water_Input,mm
2010-01-23,R_Plots,44.958,Water_Input,mm
2010-01-24,R_Plots,11.938,Water_Input,mm
2010-01-28,R_Plots,8.89,Water_Input,mm
2010-02-07,R_Plots,0,Water_Input,mm
2010-02-08,R_Plots,0,Water_Input,mm
2010-02-11,R_Plots,7.62,Water_Input,mm
2010-02-21,R_Plots,3.81,Water_Input,mm
2010-02-22,R_Plots,0.254,Water_Input,mm
2010-02-23,R_Plots,2.286,Water_Input,mm
2010-02-24,R_Plots,0.254,Water_Input,mm
2010-02-26,R_Plots,0.508,Water_Input,mm
2010-02-28,R_Plots,8.636,Water_Input,mm
2010-03-01,R_Plots,17.78,Water_Input,mm
2010-03-05,R_Plots,0,Water_Input,mm
2010-03-08,R_Plots,0,Water_Input,mm
2010-03-09,R_Plots,1.27,Water_Input,mm
2010-04-06,R_Plots,0,Water_Input,mm
2010-04-07,R_Plots,0,Water_Input,mm
2010-04-13,R_Plots,19.05,Water_Input,mm
2010-04-14,R_Plots,5.334,Water_Input,mm
2010-04-22,R_Plots,0,Water_Input,mm
2010-04-23,R_Plots,0,Water_Input,mm
2010-04-27,R_Plots,0.254,Water_Input,mm
2010-04-29,R_Plots,1.27,Water_Input,mm
2010-05-18,R_Plots,0.762,Water_Input,mm
2010-05-19,R_Plots,0.508,Water_Input,mm
2010-05-31,R_Plots,2.286,Water_Input,mm
2010-07-06,R_Plots,1.016,Water_Input,mm
2010-07-07,R_Plots,0.254,Water_Input,mm
2010-07-16,R_Plots,0.762,Water_Input,mm
2010-09-08,R_Plots,0.254,Water_Input,mm
2010-09-09,R_Plots,0.508,Water_Input,mm
2010-10-04,R_Plots,0.508,Water_Input,mm
2010-10-05,R_Plots,4.826,Water_Input,mm
2010-10-06,R_Plots,3.302,Water_Input,mm
2010-10-07,R_Plots,3.556,Water_Input,mm
2010-10-16,R_Plots,1.27,Water_Input,mm
2010-10-17,R_Plots,2.032,Water_Input,mm
2010-10-18,R_Plots,4.572,Water_Input,mm
2010-10-19,R_Plots,3.048,Water_Input,mm
2010-10-20,R_Plots,18.542,Water_Input,mm
2010-10-21,R_Plots,3.302,Water_Input,mm
2010-10-22,R_Plots,1.778,Water_Input,mm
2010-10-25,R_Plots,4.318,Water_Input,mm
2010-10-26,R_Plots,0.254,Water_Input,mm
2010-10-30,R_Plots,0,Water_Input,mm
2010-11-08,R_Plots,2.286,Water_Input,mm
2010-11-20,R_Plots,0,Water_Input,mm
2010-11-21,R_Plots,0,Water_Input,mm
2010-11-22,R_Plots,0,Water_Input,mm
2010-11-24,R_Plots,10.922,Water_Input,mm
2010-11-28,R_Plots,1.778,Water_Input,mm
2010-12-05,R_Plots,0.254,Water_Input,mm
2010-12-06,R_Plots,8.89,Water_Input,mm
2010-12-07,R_Plots,0.254,Water_Input,mm
2010-12-16,R_Plots,3.81,Water_Input,mm
2010-12-17,R_Plots,0,Water_Input,mm
2010-12-18,R_Plots,0,Water_Input,mm
2010-12-19,R_Plots,0,Water_Input,mm
2010-12-20,R_Plots,0,Water_Input,mm
2010-12-21,R_Plots,0,Water_Input,mm
2010-12-22,R_Plots,0,Water_Input,mm
2010-12-23,R_Plots,0,Water_Input,mm
2010-12-25,R_Plots,0.254,Water_Input,mm
2010-12-26,R_Plots,9.398,Water_Input,mm
2010-12-30,R_Plots,0.508,Water_Input,mm
2011-01-03,R_Plots,11.938,Water_Input,mm
2011-01-04,R_Plots,5.08,Water_Input,mm
2011-01-05,R_Plots,0.508,Water_Input,mm
2011-01-31,R_Plots,7.874,Water_Input,mm
2011-02-01,R_Plots,0.254,Water_Input,mm
2011-02-16,R_Plots,4.572,Water_Input,mm
2011-02-17,R_Plots,2.286,Water_Input,mm
2011-02-19,R_Plots,0,Water_Input,mm
2011-02-20,R_Plots,0,Water_Input,mm
2011-02-22,R_Plots,0,Water_Input,mm
2011-02-26,R_Plots,36.322,Water_Input,mm
2011-03-03,R_Plots,0.254,Water_Input,mm
2011-03-04,R_Plots,0.254,Water_Input,mm
2011-03-07,R_Plots,7.62,Water_Input,mm
2011-03-21,R_Plots,0,Water_Input,mm
2011-03-22,R_Plots,0,Water_Input,mm
2011-03-24,R_Plots,13.208,Water_Input,mm
2011-03-25,R_Plots,6.35,Water_Input,mm
2011-03-26,R_Plots,0.254,Water_Input,mm
2011-03-27,R_Plots,1.016,Water_Input,mm
2011-04-08,R_Plots,0.762,Water_Input,mm
2011-04-09,R_Plots,3.556,Water_Input,mm
2011-04-20,R_Plots,0.254,Water_Input,mm
2011-04-25,R_Plots,0.254,Water_Input,mm
2011-05-08,R_Plots,0.762,Water_Input,mm
2011-05-09,R_Plots,0.254,Water_Input,mm
2011-05-10,R_Plots,0.508,Water_Input,mm
2011-05-14,R_Plots,0.762,Water_Input,mm
2011-05-15,R_Plots,5.08,Water_Input,mm
2011-05-17,R_Plots,0.508,Water_Input,mm
2011-05-18,R_Plots,6.604,Water_Input,mm
2011-05-29,R_Plots,1.27,Water_Input,mm
2011-06-06,R_Plots,1.778,Water_Input,mm
2011-07-31,R_Plots,1.016,Water_Input,mm
2011-09-11,R_Plots,0.508,Water_Input,mm
2011-09-18,R_Plots,0.254,Water_Input,mm
2011-09-19,R_Plots,0.254,Water_Input,mm
2011-09-22,R_Plots,0.254,Water_Input,mm
2011-09-23,R_Plots,0.254,Water_Input,mm
2011-10-04,R_Plots,0.508,Water_Input,mm
2011-10-05,R_Plots,1.524,Water_Input,mm
2011-10-06,R_Plots,33.274,Water_Input,mm
2011-10-16,R_Plots,0.254,Water_Input,mm
2011-10-19,R_Plots,0.254,Water_Input,mm
2011-10-25,R_Plots,0.508,Water_Input,mm
2011-11-04,R_Plots,0,Water_Input,mm
2011-11-05,R_Plots,0,Water_Input,mm
2011-11-07,R_Plots,0,Water_Input,mm
2011-11-12,R_Plots,3.302,Water_Input,mm
2011-11-13,R_Plots,1.524,Water_Input,mm
2011-11-17,R_Plots,0.254,Water_Input,mm
2011-11-20,R_Plots,0.508,Water_Input,mm
2011-11-21,R_Plots,23.368,Water_Input,mm
2011-11-25,R_Plots,0.254,Water_Input,mm
2011-12-11,R_Plots,0.254,Water_Input,mm
2011-12-13,R_Plots,0,Water_Input,mm
2011-12-15,R_Plots,0.254,Water_Input,mm
2011-12-16,R_Plots,0.762,Water_Input,mm
2011-12-18,R_Plots,0.762,Water_Input,mm
2011-12-22,R_Plots,0.254,Water_Input,mm
2012-01-16,R_Plots,7.62,Water_Input,mm
2012-01-17,R_Plots,0.508,Water_Input,mm
2012-01-20,R_Plots,0.254,Water_Input,mm
2012-01-21,R_Plots,0,Water_Input,mm
2012-01-22,R_Plots,0,Water_Input,mm
2012-01-23,R_Plots,0,Water_Input,mm
2012-01-24,R_Plots,0.254,Water_Input,mm
2012-02-02,R_Plots,0.254,Water_Input,mm
2012-02-11,R_Plots,0.254,Water_Input,mm
2012-02-14,R_Plots,1.016,Water_Input,mm
2012-02-16,R_Plots,12.446,Water_Input,mm
2012-02-27,R_Plots,0.508,Water_Input,mm
2012-02-28,R_Plots,12.192,Water_Input,mm
2012-03-18,R_Plots,0,Water_Input,mm
2012-04-12,R_Plots,0.508,Water_Input,mm
2012-05-01,R_Plots,0.762,Water_Input,mm
2012-05-02,R_Plots,0.508,Water_Input,mm
2009-10-11,A_Plots,0.25,Water_Input,mm
2009-10-15,A_Plots,4.78,Water_Input,mm
2009-10-16,A_Plots,1.25,Water_Input,mm
2009-11-30,A_Plots,0.25,Water_Input,mm
2009-12-08,A_Plots,1,Water_Input,mm
2009-12-09,A_Plots,24.57,Water_Input,mm
2009-12-12,A_Plots,0.75,Water_Input,mm
2009-12-13,A_Plots,3.52,Water_Input,mm
2009-12-14,A_Plots,29.35,Water_Input,mm
2009-12-23,A_Plots,3.048,Water_Input,mm
2010-01-01,A_Plots,2.794,Water_Input,mm
2010-01-14,A_Plots,1.016,Water_Input,mm
2010-01-15,A_Plots,0.508,Water_Input,mm
2010-01-19,A_Plots,8.382,Water_Input,mm
2010-01-20,A_Plots,35.306,Water_Input,mm
2010-01-21,A_Plots,22.098,Water_Input,mm
2010-01-22,A_Plots,34.036,Water_Input,mm
2010-01-23,A_Plots,44.958,Water_Input,mm
2010-01-24,A_Plots,11.938,Water_Input,mm
2010-01-28,A_Plots,8.89,Water_Input,mm
2010-02-07,A_Plots,42.418,Water_Input,mm
2010-02-08,A_Plots,11.684,Water_Input,mm
2010-02-11,A_Plots,7.62,Water_Input,mm
2010-02-21,A_Plots,3.81,Water_Input,mm
2010-02-22,A_Plots,0.254,Water_Input,mm
2010-02-23,A_Plots,2.286,Water_Input,mm
2010-02-24,A_Plots,0.254,Water_Input,mm
2010-02-26,A_Plots,0.508,Water_Input,mm
2010-02-28,A_Plots,8.636,Water_Input,mm
2010-03-01,A_Plots,17.78,Water_Input,mm
2010-03-05,A_Plots,6.096,Water_Input,mm
2010-03-08,A_Plots,9.144,Water_Input,mm
2010-03-09,A_Plots,1.27,Water_Input,mm
2010-04-06,A_Plots,2.286,Water_Input,mm
2010-04-07,A_Plots,5.08,Water_Input,mm
2010-04-13,A_Plots,19.05,Water_Input,mm
2010-04-14,A_Plots,5.334,Water_Input,mm
2010-04-22,A_Plots,2.286,Water_Input,mm
2010-04-23,A_Plots,6.096,Water_Input,mm
2010-04-27,A_Plots,0.254,Water_Input,mm
2010-04-29,A_Plots,1.27,Water_Input,mm
2010-05-18,A_Plots,0.762,Water_Input,mm
2010-05-19,A_Plots,0.508,Water_Input,mm
2010-05-31,A_Plots,2.286,Water_Input,mm
2010-07-06,A_Plots,1.016,Water_Input,mm
2010-07-07,A_Plots,0.254,Water_Input,mm
2010-07-16,A_Plots,0.762,Water_Input,mm
2010-09-08,A_Plots,0.254,Water_Input,mm
2010-09-09,A_Plots,0.508,Water_Input,mm
2010-10-04,A_Plots,0.508,Water_Input,mm
2010-10-05,A_Plots,4.826,Water_Input,mm
2010-10-06,A_Plots,3.302,Water_Input,mm
2010-10-07,A_Plots,3.556,Water_Input,mm
2010-10-16,A_Plots,1.27,Water_Input,mm
2010-10-17,A_Plots,2.032,Water_Input,mm
2010-10-18,A_Plots,4.572,Water_Input,mm
2010-10-19,A_Plots,3.048,Water_Input,mm
2010-10-20,A_Plots,18.542,Water_Input,mm
2010-10-21,A_Plots,3.302,Water_Input,mm
2010-10-22,A_Plots,1.778,Water_Input,mm
2010-10-25,A_Plots,4.318,Water_Input,mm
2010-10-26,A_Plots,0.254,Water_Input,mm
2010-10-30,A_Plots,6.858,Water_Input,mm
2010-11-08,A_Plots,2.286,Water_Input,mm
2010-11-20,A_Plots,3.81,Water_Input,mm
2010-11-21,A_Plots,18.034,Water_Input,mm
2010-11-22,A_Plots,1.27,Water_Input,mm
2010-11-24,A_Plots,10.922,Water_Input,mm
2010-11-28,A_Plots,1.778,Water_Input,mm
2010-12-05,A_Plots,0.254,Water_Input,mm
2010-12-06,A_Plots,8.89,Water_Input,mm
2010-12-07,A_Plots,0.254,Water_Input,mm
2010-12-16,A_Plots,3.81,Water_Input,mm
2010-12-17,A_Plots,2.794,Water_Input,mm
2010-12-18,A_Plots,5.334,Water_Input,mm
2010-12-19,A_Plots,20.32,Water_Input,mm
2010-12-20,A_Plots,37.084,Water_Input,mm
2010-12-21,A_Plots,75.184,Water_Input,mm
2010-12-22,A_Plots,88.646,Water_Input,mm
2010-12-23,A_Plots,0.508,Water_Input,mm
2010-12-25,A_Plots,0.254,Water_Input,mm
2010-12-26,A_Plots,9.398,Water_Input,mm
2010-12-30,A_Plots,0.508,Water_Input,mm
2011-01-03,A_Plots,11.938,Water_Input,mm
2011-01-04,A_Plots,5.08,Water_Input,mm
2011-01-05,A_Plots,0.508,Water_Input,mm
2011-01-31,A_Plots,7.874,Water_Input,mm
2011-02-01,A_Plots,0.254,Water_Input,mm
2011-02-16,A_Plots,4.572,Water_Input,mm
2011-02-17,A_Plots,2.286,Water_Input,mm
2011-02-19,A_Plots,15.24,Water_Input,mm
2011-02-20,A_Plots,13.97,Water_Input,mm
2011-02-22,A_Plots,0.254,Water_Input,mm
2011-02-26,A_Plots,36.322,Water_Input,mm
2011-03-03,A_Plots,0.254,Water_Input,mm
2011-03-04,A_Plots,0.254,Water_Input,mm
2011-03-07,A_Plots,7.62,Water_Input,mm
2011-03-21,A_Plots,34.544,Water_Input,mm
2011-03-22,A_Plots,3.556,Water_Input,mm
2011-03-24,A_Plots,13.208,Water_Input,mm
2011-03-25,A_Plots,6.35,Water_Input,mm
2011-03-26,A_Plots,0.254,Water_Input,mm
2011-03-27,A_Plots,1.016,Water_Input,mm
2011-04-08,A_Plots,0.762,Water_Input,mm
2011-04-09,A_Plots,3.556,Water_Input,mm
2011-04-20,A_Plots,0.254,Water_Input,mm
2011-04-25,A_Plots,0.254,Water_Input,mm
2011-05-08,A_Plots,0.762,Water_Input,mm
2011-05-09,A_Plots,0.254,Water_Input,mm
2011-05-10,A_Plots,0.508,Water_Input,mm
2011-05-14,A_Plots,0.762,Water_Input,mm
2011-05-15,A_Plots,5.08,Water_Input,mm
2011-05-17,A_Plots,0.508,Water_Input,mm
2011-05-18,A_Plots,6.604,Water_Input,mm
2011-05-29,A_Plots,1.27,Water_Input,mm
2011-06-06,A_Plots,1.778,Water_Input,mm
2011-07-31,A_Plots,1.016,Water_Input,mm
2011-09-11,A_Plots,0.508,Water_Input,mm
2011-09-18,A_Plots,0.254,Water_Input,mm
2011-09-19,A_Plots,0.254,Water_Input,mm
2011-09-22,A_Plots,0.254,Water_Input,mm
2011-09-23,A_Plots,0.254,Water_Input,mm
2011-10-04,A_Plots,0.508,Water_Input,mm
2011-10-05,A_Plots,1.524,Water_Input,mm
2011-10-06,A_Plots,33.274,Water_Input,mm
2011-10-16,A_Plots,0.254,Water_Input,mm
2011-10-19,A_Plots,0.254,Water_Input,mm
2011-10-25,A_Plots,0.508,Water_Input,mm
2011-11-04,A_Plots,6.35,Water_Input,mm
2011-11-05,A_Plots,3.556,Water_Input,mm
2011-11-07,A_Plots,6.096,Water_Input,mm
2011-11-12,A_Plots,3.302,Water_Input,mm
2011-11-13,A_Plots,1.524,Water_Input,mm
2011-11-17,A_Plots,0.254,Water_Input,mm
2011-11-20,A_Plots,0.508,Water_Input,mm
2011-11-21,A_Plots,23.368,Water_Input,mm
2011-11-25,A_Plots,0.254,Water_Input,mm
2011-12-11,A_Plots,0.254,Water_Input,mm
2011-12-13,A_Plots,8.636,Water_Input,mm
2011-12-15,A_Plots,0.254,Water_Input,mm
2011-12-16,A_Plots,0.762,Water_Input,mm
2011-12-18,A_Plots,0.762,Water_Input,mm
2011-12-22,A_Plots,0.254,Water_Input,mm
2012-01-16,A_Plots,7.62,Water_Input,mm
2012-01-17,A_Plots,0.508,Water_Input,mm
2012-01-20,A_Plots,0.254,Water_Input,mm
2012-01-21,A_Plots,7.112,Water_Input,mm
2012-01-22,A_Plots,5.08,Water_Input,mm
2012-01-23,A_Plots,0.254,Water_Input,mm
2012-01-24,A_Plots,6.35,Water_Input,mm
2012-02-02,A_Plots,0.254,Water_Input,mm
2012-02-11,A_Plots,0.254,Water_Input,mm
2012-02-14,A_Plots,1.016,Water_Input,mm
2012-02-16,A_Plots,12.446,Water_Input,mm
2012-02-27,A_Plots,0.508,Water_Input,mm
2012-02-28,A_Plots,12.192,Water_Input,mm
2012-03-18,A_Plots,2.032,Water_Input,mm
2012-04-12,A_Plots,0.508,Water_Input,mm
2012-05-01,A_Plots,0.762,Water_Input,mm
2012-05-02,A_Plots,0.508,Water_Input,mm
